Ratings,Night Fragrances With Rating,Day Fragrances With Rating,Winter Fragrances With Rating,Fall Fragrances With Rating,Summer Fragrances With Rating,Spring Fragrances With Rating
< 10,13105,13105,24553,17676,22456,16878
10 to 20,1682,1682,5260,5121,5255,4262
20 to 30,2937,2937,4161,4780,4171,4590
30 to 40,4408,4408,4330,5689,4400,5541
40 to 50,6475,6475,4501,6262,4936,6527
50 to 60,3907,3907,1596,2190,1939,2786
60 to 70,4359,4359,1445,2044,2148,2634
70 to 80,3086,3086,814,1177,1371,1547
80 to 90,1675,1675,303,432,661,631
90 to 100,9578,9578,4249,5841,3875,5816
